String,Delta Remoteness
o----oxx-,2,0
-o---oxx-,2,0
--o--oxx-,2,0
---o-oxx-,2,0
o--x-oxx-,-2,0
xox-----o,-2,0
oxx-----o,-2,0
xx-o----o,2,0
-xxo----o,2,0
xo-x----o,2,0
ox-x----o,-2,0
o-xx----o,-2,0
-x-xo---o,-2,0
--xxo---o,-2,0
----x---o,-1,0
xo--x---o,-2,0
x--ox---o,-2,0
-xx--o--o,2,0
-x-x-o--o,-2,0
oxxx-o--o,-2,0
x---xo--o,-2,0
-----x--o,-1,0
ox---x--o,-2,0
x-o--x--o,-2,0
-xo--x--o,-2,0
xxo--x--o,-2,0
o-x--x--o,-2,0
xox--x--o,-2,0
-xxo-x--o,-2,0
-o-x-x--o,2,0
-xox-x--o,-2,0
-oxx-x--o,-2,0
x--xox--o,-2,0
--xoxx--o,-2,0
ox----x-o,-2,0
x--o--x-o,-2,0
o--x--x-o,-2,0
-o-x--x-o,2,0
-x--o-x-o,-2,0
--x-o-x-o,-2,0
---x-ox-o,2,0
o----xx-o,-2,0
--o--xx-o,-2,0
oxo--xx-o,-2,0
-ox--xx-o,-2,0
ox-o-xx-o,-2,0
xx-----oo,2,0
-xx----oo,2,0
x--x---oo,2,0
-x-x---oo,-2,0
x---x--oo,-2,0
x----x-oo,-4,0
-x---x-oo,-2,0
---x-x-oo,2,0
---x--xoo,2,0
ox-x--xoo,-2,0
ox---xxoo,-2,0
-xo--xxoo,-2,0
--x--xxoo,-2,0
x--o-xxoo,-2,0
-x-o-xxoo,-2,0
-x--oxxoo,-2,0
-------xo,-1,0
o-x----xo,-2,0
-x-o---xo,2,0
o--x---xo,-2,0
ooxx---xo,-2,0
xx--o--xo,-2,0
x----o-xo,-4,0
-x---o-xo,2,0
xox--o-xo,-2,0
---x-o-xo,-2,0
o-xx-o-xo,-2,0
-oxx-o-xo,-2,0
--xxoo-xo,-2,0
o----x-xo,-2,0
--o--x-xo,-2,0
xoo--x-xo,-2,0
-xo--x-xo,-2,0
oox--x-xo,-2,0
--xo-x-xo,-2,0
--ox-x-xo,-2,0
x-----oxo,-2,0
--x---oxo,-2,0
---x--oxo,-2,0
x--x--oxo,-2,0
-x-x--oxo,-2,0
o-xx--oxo,-2,0
--xx-ooxo,-2,0
-----xoxo,-2,0
-x---xoxo,-2,0
x-o--xoxo,-2,0
--x--xoxo,-2,0
x--o-xoxo,-2,0
---x-xoxo,-2,0
o-----xxo,-2,0
x--o--xxo,-2,0
-x-o--xxo,-2,0
--xo--xxo,-2,0
-o-x--xxo,-2,0
-o--x-xxo,-2,0
--x--oxxo,-2,0
-o---xxxo,-2,0
--o--xxxo,-2,0
o--o-xxxo,-2,0
--------x,-2,0
oxo-----x,-2,0
xo-o----x,2,0
ox-o----x,-2,0
xxoo----x,-2,0
-oxo----x,2,0
oo-x----x,-2,0
----o---x,-1,0
x-o-o---x,-2,0
--oxo---x,-2,0
oo--x---x,-2,0
o--ox---x,-2,0
xo---o--x,2,0
ox---o--x,-2,0
xxo--o--x,-2,0
o-x--o--x,-2,0
xox--o--x,-2,0
oxx--o--x,-2,0
x--o-o--x,2,0
oxox-o--x,-2,0
ooxx-o--x,-2,0
---xoo--x,-2,0
-xoxoo--x,-2,0
o---xo--x,-2,0
oo---x--x,2,0
xoo--x--x,-2,0
oxo--x--x,-2,0
o--o-x--x,2,0
-o-o-x--x,2,0
-xoo-x--x,-2,0
o--xox--x,-2,0
--ooxx--x,-2,0
-xo---o-x,-2,0
o--x--o-x,-2,0
xo-x--o-x,-2,0
--ox--o-x,-2,0
oxox--o-x,-2,0
x---o-o-x,-2,0
-x--o-o-x,-2,0
--x--oo-x,-2,0
-xox-oo-x,-2,0
-o---xo-x,2,0
--o--xo-x,-2,0
---o-xo-x,2,0
-o-o--x-x,2,0
-o---ox-x,2,0
---o-ox-x,2,0
xo-----ox,2,0
-ox----ox,2,0
x--o---ox,2,0
--xo---ox,2,0
-x--o--ox,-2,0
o---x--ox,-2,0
x----o-ox,2,0
-xox-o-ox,-2,0
-oxx-o-ox,-2,0
-x-xoo-ox,-2,0
-o---x-ox,2,0
x-o--x-ox,-2,0
---o-x-ox,2,0
--ox-x-ox,-2,0
x--x--oox,-2,0
ox-x--oox,-2,0
-xox--oox,-2,0
-x-xo-oox,-2,0
-x-x-ooox,-2,0
--xx-ooox,-2,0
-----xoox,2,0
-xo--xoox,-2,0
o-----xox,-2,0
--o---xox,-2,0
x--o--xox,-2,0
ox-o--xox,-2,0
o--x--xox,-2,0
-xo--oxox,-2,0
--x--oxox,-2,0
-x-o-oxox,-2,0
--o--xxox,-2,0
oo-----xx,2,0
-oo----xx,2,0
o--o---xx,2,0
-o-o---xx,2,0
--oo---xx,2,0
ox--o--xx,-2,0
-o---o-xx,2,0
--o--o-xx,2,0
---o-o-xx,2,0
--oo-x-xx,-2,0
--o---oxx,-2,0
x--o--oxx,-2,0
o--x--oxx,-2,0
-o-x--oxx,-2,0
-o--x-oxx,-2,0
x----ooxx,-2,0
-x---ooxx,-2,0
--x--ooxx,-2,0
--ox-ooxx,-2,0
-o---xoxx,-2,0
